title,speaker,url,month,year
Could CBD help opioid users overcome addiction?,Yasmin Hurd,/talks/yasmin_hurd_could_cbd_help_opioid_users_overcome_addiction?language=en,Oct,2020
Which type of milk is best for you?,Jonathan J. O'Sullivan and Grace E. Cunningham,/talks/jonathan_j_o_sullivan_and_grace_e_cunningham_which_type_of_milk_is_best_for_you?language=en,Oct,2020
Apple's promise to be carbon neutral by 2030,Lisa Jackson and Liz Ogbu,/talks/lisa_jackson_and_liz_ogbu_apple_s_promise_to_be_carbon_neutral_by_2030?language=en,Oct,2020
"How businesses can serve everyone, not just shareholders",Dame Vivian Hunt,/talks/dame_vivian_hunt_how_businesses_can_serve_everyone_not_just_shareholders?language=en,Oct,2020
Could we harness the power of a black hole?,Fabio Pacucci,/talks/fabio_pacucci_could_we_harness_the_power_of_a_black_hole?language=en,Oct,2020
Amazon's climate pledge to be net-zero by 2040,Dave Clark and Kara Hurst,/talks/dave_clark_and_kara_hurst_amazon_s_climate_pledge_to_be_net_zero_by_2040?language=en,Oct,2020
The secret to being a successful freelancer,Paco de Leon,/talks/paco_de_leon_the_secret_to_being_a_successful_freelancer?language=en,Oct,2020
The race to a zero-emission world starts now	,António Guterres,/talks/antonio_guterres_the_race_to_a_zero_emission_world_starts_now?language=en,Oct,2020
The global movement to restore nature's biodiversity,Thomas Crowther,/talks/thomas_crowther_the_global_movement_to_restore_nature_s_biodiversity?language=en,Oct,2020
Make your actions on climate reflect your words	,Severn Cullis-Suzuki,/talks/severn_cullis_suzuki_make_your_actions_on_climate_reflect_your_words?language=en,Oct,2020
The rise and fall of history's first empire,Soraya Field Fiorio,/talks/soraya_field_fiorio_the_rise_and_fall_of_history_s_first_empire?language=en,Oct,2020
10 years to transform the future of humanity — or destabilize the planet,Johan Rockström,/talks/johan_rockstrom_10_years_to_transform_the_future_of_humanity_or_destabilize_the_planet?language=en,Oct,2020
Europe's plan to become the first carbon-neutral continent,Ursula von der Leyen,/talks/ursula_von_der_leyen_europe_s_plan_to_become_the_first_carbon_neutral_continent?language=en,Oct,2020
Can you solve the riddle and escape Hades?,Dan Finkel,/talks/dan_finkel_can_you_solve_the_riddle_and_escape_hades?language=en,Oct,2020
Climate justice can't happen without racial justice,David Lammy,/talks/david_lammy_climate_justice_can_t_happen_without_racial_justice?language=en,Oct,2020
How cities are detoxing transportation,Monica Araya,/talks/monica_araya_how_cities_are_detoxing_transportation?language=en,Oct,2020
This decade calls for Earthshots to repair our planet,Prince William,/talks/prince_william_this_decade_calls_for_earthshots_to_repair_our_planet?language=en,Oct,2020
Our moral imperative to act on climate change — and 3 steps we can take,His Holiness Pope Francis,/talks/his_holiness_pope_francis_our_moral_imperative_to_act_on_climate_change_and_3_steps_we_can_take?language=en,Oct,2020
3 steps to stop remote work burnout,Morra Aarons-Mele,/talks/morra_aarons_mele_3_steps_to_stop_remote_work_burnout?language=en,Oct,2020
Why act now?,Kristen Bell + Giant Ant,/talks/kristen_bell_giant_ant_why_act_now?language=en,Oct,2020
"Can we create the ""perfect"" farm?",Brent Loken,/talks/brent_loken_can_we_create_the_perfect_farm?language=en,Oct,2020
"A ""forest generation"" living in harmony with nature",Ernestine Leikeki Sevidzem,/talks/ernestine_leikeki_sevidzem_a_forest_generation_living_in_harmony_with_nature?language=en,Oct,2020
Climate change is our reality. Here's how we're taking action,"Al Gore, Gloria Kasang Bulus, Nana Firman, Ximena Loría and Tim Guinee",/talks/al_gore_gloria_kasang_bulus_nana_firman_ximena_loria_and_tim_guinee_climate_change_is_our_reality_here_s_how_we_re_taking_action?language=en,Oct,2020
Where does all the carbon we release go?,Kristen Bell + Giant Ant,/talks/kristen_bell_giant_ant_where_does_all_the_carbon_we_release_go?language=en,Oct,2020
Why is 1.5 degrees such a big deal?,Kristen Bell + Giant Ant,/talks/kristen_bell_giant_ant_why_is_1_5_degrees_such_a_big_deal?language=en,Oct,2020
The joy of taking out the trash,Aparna Nancherla,/talks/aparna_nancherla_the_joy_of_taking_out_the_trash?language=en,Oct,2020
If trees could speak,Elif Shafak,/talks/elif_shafak_if_trees_could_speak?language=en,Oct,2020
Kids are speaking up for the environment. Let's listen,Olafur Eliasson,/talks/olafur_eliasson_kids_are_speaking_up_for_the_environment_let_s_listen?language=en,Oct,2020
"""Luna Negra"" / ""Carita de Inocente"" / ""Corazón Sin Cara"" / ""Darte un Beso""",Prince Royce,/talks/prince_royce_luna_negra_carita_de_inocente_corazon_sin_cara_darte_un_beso?language=en,Oct,2020
The state of the climate crisis	,Climate Action Tracker,/talks/climate_action_tracker_the_state_of_the_climate_crisis?language=en,Oct,2020
What is net-zero?,Kristen Bell + Giant Ant,/talks/kristen_bell_giant_ant_what_is_net_zero?language=en,Oct,2020
Cities are driving climate change. Here's how they can fix it,Angel Hsu,/talks/angel_hsu_cities_are_driving_climate_change_here_s_how_they_can_fix_it?language=en,Oct,2020
Why is the world warming up?,Kristen Bell + Giant Ant,/talks/kristen_bell_giant_ant_why_is_the_world_warming_up?language=en,Oct,2020
How Ikea is growing its business while shrinking emissions,Jesper Brodin and Pia Heidenmark Cook,/talks/jesper_brodin_and_pia_heidenmark_cook_how_ikea_is_growing_its_business_while_shrinking_emissions?language=en,Oct,2020
"The life unfolding inside your cells, revealed in 3D",Gokul Upadhyayula,/talks/gokul_upadhyayula_the_life_unfolding_inside_your_cells_revealed_in_3d?language=en,Oct,2020
"What causes panic attacks, and how can you prevent them?",Cindy J. Aaronson,/talks/cindy_j_aaronson_what_causes_panic_attacks_and_how_can_you_prevent_them?language=en,Oct,2020
Civilization on the Moon — and what it means for life on Earth,Jessy Kate Schingler,/talks/jessy_kate_schingler_civilization_on_the_moon_and_what_it_means_for_life_on_earth?language=en,Oct,2020
What kids can teach adults about asking for help,YeYoon Kim,/talks/yeyoon_kim_what_kids_can_teach_adults_about_asking_for_help?language=en,Oct,2020
